task_id,name,issuer,context,context_degree,datasets,requirements,geo,submit_offset_s
38,eval-conflicts-rho005-r7-038,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,38.0
39,eval-conflicts-rho005-r7-039,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,39.0
40,eval-conflicts-rho005-r7-040,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,40.0
41,eval-conflicts-rho005-r7-041,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,41.0
42,eval-conflicts-rho005-r7-042,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,42.0
43,eval-conflicts-rho005-r7-043,issuer10,x10,0,"[""d10""]","{""evalprop"": 1}",evalgeo,43.0
44,eval-conflicts-rho005-r7-044,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,44.0
45,eval-conflicts-rho005-r7-045,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,45.0
46,eval-conflicts-rho005-r7-046,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,46.0
47,eval-conflicts-rho005-r7-047,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,47.0
48,eval-conflicts-rho005-r7-048,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,48.0
49,eval-conflicts-rho005-r7-049,issuer10,x10,0,"[""d10""]","{""evalprop"": 1}",evalgeo,49.0
50,eval-conflicts-rho005-r7-050,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,50.0
51,eval-conflicts-rho005-r7-051,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,51.0
52,eval-conflicts-rho005-r7-052,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,52.0
53,eval-conflicts-rho005-r7-053,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,53.0
54,eval-conflicts-rho005-r7-054,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,54.0
55,eval-conflicts-rho005-r7-055,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,55.0
56,eval-conflicts-rho005-r7-056,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,56.0
57,eval-conflicts-rho005-r7-057,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,57.0
58,eval-conflicts-rho005-r7-058,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,58.0
59,eval-conflicts-rho005-r7-059,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,59.0
60,eval-conflicts-rho005-r7-060,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,60.0
61,eval-conflicts-rho005-r7-061,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,61.0
62,eval-conflicts-rho005-r7-062,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,62.0
63,eval-conflicts-rho005-r7-063,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,63.0
64,eval-conflicts-rho005-r7-064,issuer10,x10,0,"[""d10""]","{""evalprop"": 1}",evalgeo,64.0
65,eval-conflicts-rho005-r7-065,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,65.0
66,eval-conflicts-rho005-r7-066,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,66.0
67,eval-conflicts-rho005-r7-067,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,67.0
68,eval-conflicts-rho005-r7-068,issuer3,x03,1,"[""d03""]","{""evalprop"": 1}",evalgeo,68.0
69,eval-conflicts-rho005-r7-069,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,69.0
70,eval-conflicts-rho005-r7-070,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,70.0
71,eval-conflicts-rho005-r7-071,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,71.0
72,eval-conflicts-rho005-r7-072,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,72.0
73,eval-conflicts-rho005-r7-073,issuer3,x03,1,"[""d03""]","{""evalprop"": 1}",evalgeo,73.0
74,eval-conflicts-rho005-r7-074,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,74.0
75,eval-conflicts-rho005-r7-075,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,75.0
76,eval-conflicts-rho005-r7-076,issuer10,x10,0,"[""d10""]","{""evalprop"": 1}",evalgeo,76.0
77,eval-conflicts-rho005-r7-077,issuer10,x10,0,"[""d10""]","{""evalprop"": 1}",evalgeo,77.0
78,eval-conflicts-rho005-r7-078,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,78.0
79,eval-conflicts-rho005-r7-079,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,79.0
80,eval-conflicts-rho005-r7-080,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,80.0
81,eval-conflicts-rho005-r7-081,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,81.0
82,eval-conflicts-rho005-r7-082,issuer6,x06,1,"[""d06""]","{""evalprop"": 1}",evalgeo,82.0
83,eval-conflicts-rho005-r7-083,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,83.0
84,eval-conflicts-rho005-r7-084,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,84.0
85,eval-conflicts-rho005-r7-085,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,85.0
86,eval-conflicts-rho005-r7-086,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,86.0
87,eval-conflicts-rho005-r7-087,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,87.0
88,eval-conflicts-rho005-r7-088,issuer4,x04,0,"[""d04""]","{""evalprop"": 1}",evalgeo,88.0
89,eval-conflicts-rho005-r7-089,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,89.0
90,eval-conflicts-rho005-r7-090,issuer5,x05,1,"[""d05""]","{""evalprop"": 1}",evalgeo,90.0
91,eval-conflicts-rho005-r7-091,issuer2,x02,0,"[""d02""]","{""evalprop"": 1}",evalgeo,91.0
92,eval-conflicts-rho005-r7-092,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,92.0
93,eval-conflicts-rho005-r7-093,issuer1,x01,0,"[""d01""]","{""evalprop"": 1}",evalgeo,93.0
94,eval-conflicts-rho005-r7-094,issuer10,x10,0,"[""d10""]","{""evalprop"": 1}",evalgeo,94.0
95,eval-conflicts-rho005-r7-095,issuer10,x10,0,"[""d10""]","{""evalprop"": 1}",evalgeo,95.0
96,eval-conflicts-rho005-r7-096,issuer9,x09,0,"[""d09""]","{""evalprop"": 1}",evalgeo,96.0
97,eval-conflicts-rho005-r7-097,issuer3,x03,1,"[""d03""]","{""evalprop"": 1}",evalgeo,97.0
98,eval-conflicts-rho005-r7-098,issuer7,x07,1,"[""d07""]","{""evalprop"": 1}",evalgeo,98.0
99,eval-conflicts-rho005-r7-099,issuer8,x08,2,"[""d08""]","{""evalprop"": 1}",evalgeo,99.0
